id,q,r,state,constituency,ge14_win_coallition,ge14_win_party,ge13_win_coallition,ge13_win_party,ge14_majority,ge14_majority_pct,ge13_majority,ge13_majority_pct,ge14_malay,ge13_malay,ge14_chinese,ge13_chinese,ge14_indian,ge13_indian,ge14_bp_sabah_muslim,ge14_bp_sabah_nonmuslim,ge14_bp_swk,ge14_orang_asli,ge14_others,ge13_others,ge14_total_electorate,ge13_total_electorate,ge14_total_vote_cast,ge13_total_vote_cast,ge14_turnout,ge13_turnout
P107,11,5,Selangor,Sungai Buloh,PH,PKR,PR,PKR,26634,33.87,26719,23.73,65,50,22,36,11,14,0,0,0,0,1,1,90707,128543,78637,112618,87,88
P108,15,7,Selangor,Shah Alam,PH,AMANAH,PR,PAS,33849,36.05,10939,12.44,75,69,11,16,13,15,0,0,0,0,1,1,107316,99957,93907,87942,88,88
P109,11,4,Selangor,Kapar,PH,PKR,PR,PKR,16306,15.16,23790,18.78,71,51,15,35,14,13,0,0,0,0,1,0,124983,144159,107590,126709,86,88
P110,12,5,Selangor,Klang,PH,DAP,PR,DAP,78773,61.41,24685,29.35,26,33,55,47,17,19,0,0,0,0,1,1,149348,97073,128278,84095,86,87
P111,13,5,Selangor,Kota Raja,PH,AMANAH,PR,PAS,71142,55.11,29395,31.76,43,48,28,23,28,28,1,0,0,0,1,1,149021,105909,129092,92563,87,87
P112,14,6,Selangor,Kuala Langat,PH,PKR,PR,PKR,17112,19.18,5358,6.82,57,55,24,26,16,18,0,0,0,2,1,0,102406,88474,89228,78557,87,89
P113,15,6,Selangor,Sepang,PH,AMANAH,PR,PAS,18705,20.39,1104,1.47,62,59,20,23,14,18,0,0,0,2,1,0,104508,84362,91740,74961,88,89
P114,11,8,Federal Territories,Kepong,PH,DAP,PR,DAP,51628,83.64,40307,68.89,5,4,89,90,6,4,0,0,0,0,0,1,72696,68035,61727,58512,85,86
P115,12,9,Federal Territories,Batu,IND,IND,PR,PKR,24438,38.6,13284,18.45,43,44,38,41,17,14,0,0,0,0,1,1,76328,85402,63303,71988,83,84
P116,13,8,Federal Territories,Wangsa maju,PH,PKR,PR,PKR,24238,32.7,5511,9.48,60,52,30,40,8,7,0,0,1,0,1,1,88482,67775,74133,58146,84,86
P117,11,7,Federal Territories,Segambut,PH,DAP,PR,DAP,45702,70.29,19199,29.97,28,36,59,52,12,12,0,0,0,0,2,0,77956,75631,65016,64052,83,85
P118,13,7,Federal Territories,Setiawangsa,PH,PKR,BN,UMNO,14372,23.35,1390,2.64,61,56,26,33,10,9,1,0,1,0,1,1,72136,62309,61545,52730,85,85
P119,13,6,Federal Territories,Titwangsa,PH,PPBM,BN,UMNO,4139,8.16,866,1.9,70,67,17,24,9,9,1,0,0,0,2,0,61598,55282,50709,45513,82,82
P120,12,8,Federal Territories,Bukit Bintang,PH,DAP,PR,DAP,37260,70.75,19399,46.44,13,16,75,75,11,8,0,0,0,0,1,1,69526,55721,52662,41772,76,75
P121,11,6,Federal Territories,Lembah Pantai,PH,PKR,PR,PKR,5598,8.37,1847,3.04,62,55,19,27,16,18,1,0,0,0,2,0,80346,72396,66843,60855,83,84
P122,12,7,Federal Territories,Seputeh,PH,DAP,PR,DAP,56059,79.6,51552,71.85,9,6,82,90,8,5,0,0,0,0,1,0,86256,85976,70423,71750,82,83
P123,14,7,Federal Territories,Cheras,PH,DAP,PR,DAP,49667,77.66,37409,62.97,10,10,83,84,7,6,0,0,0,0,0,0,78819,72551,63952,59404,81,82
P124,12,6,Federal Territories,Bandar Tun Razak,PH,PKR,PR,PKR,19930,28.21,11832,15.14,61,53,29,39,8,7,0,0,1,0,1,1,83650,90993,70650,78147,84,86
P125,13,4,Federal Territories,Putrajaya,BN,UMNO,BN,UMNO,3372,13.65,5541,38.43,94,94,1,39,3,7,1,0,0,0,0,1,27306,15791,24704,14418,90,91
P126,14,5,Negeri Sembilan,Jelebu,BN,UMNO,BN,UMNO,2045,5.17,7101,18.74,65,63,24,26,6,6,0,0,0,5,0,5,48522,44937,39543,37883,81,84
P127,15,5,Negeri Sembilan,Jempol,BN,UMNO,BN,UMNO,1631,2.8,8614,15.75,63,61,23,25,12,13,0,0,0,1,0,1,72122,65213,58299,54701,81,84
P128,12,4,Negeri Sembilan,Seremban,PH,DAP,PR,DAP,30694,33.05,12553,14.37,48,44,37,41,13,14,0,0,0,1,1,2,110168,102305,92870,87359,84,85
P129,14,4,Negeri Sembilan,Kuala Pilah,PH,PPBM,BN,UMNO,200,0.49,9661,24.06,77,76,16,17,5,5,0,0,0,2,0,2,49801,47671,41006,40147,82,84
P130,11,3,Negeri Sembilan,Rasah,PH,DAP,PR,DAP,46867,54.27,23485,31.04,30,28,48,48,21,22,0,0,0,0,1,2,102838,88403,86352,75651,84,86
P131,13,3,Negeri Sembilan,Rembau,BN,UMNO,BN,UMNO,4364,5.83,18357,26.49,73,70,10,12,15,16,0,0,0,0,0,1,88365,79661,74909,69291,85,87
P132,12,3,Negeri Sembilan,Port Dickson,PH,PKR,PR,PKR,17710,28.44,1579,2.64,43,42,33,34,22,21,1,0,1,0,0,2,75212,70524,62282,59855,83,85
P133,15,4,Negeri Sembilan,Tampin,PH,AMANAH,BN,UMNO,1002,2.03,11162,22.94,63,61,24,24,12,13,0,0,1,0,0,2,60765,57268,49316,48660,81,85
P134,13,2,Malacca,Masjid Tanah,BN,UMNO,BN,UMNO,8159,18.99,16200,40.76,83,82,12,13,4,4,0,0,0,0,1,1,51441,45952,42961,39742,84,86
P135,14,3,Malacca,Alor Gajah,PH,PPBM,BN,MCA,6980,11.87,11597,21.07,61,58,25,30,13,12,0,0,0,1,0,0,70364,63591,58822,55028,84,87
P136,14,2,Malacca,Tangga Batu,PH,PKR,BN,UMNO,4659,6.63,15633,24.32,71,68,22,25,4,4,1,0,2,0,1,3,83213,73282,70287,64288,84,88
P137,15,2,Malacca,Hang Tuah Jaya,PH,PKR,PR,PKR,8640,11.15,5447,6.18,62,53,31,41,6,6,0,0,0,0,1,1,89364,99438,77492,88083,87,89
P138,16,3,Malacca,Kota Melaka,PH,DAP,PR,DAP,49175,46.08,20746,26.11,37,36,57,59,4,4,0,0,0,0,1,2,126848,92322,106708,79464,84,86
P139,15,3,Malacca,Jasin,BN,UMNO,BN,UMNO,219,0.35,11763,20.74,74,71,16,18,10,10,0,0,0,0,0,0,73432,64455,62673,56710,85,88
