State,KodPAR,const_name,coallition,candidate_name,party,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,muslim_bumi,nonmuslim_bumi,sabah_bumi,early,postal
Terengganu,33,Besut,PH,Wan Nazari Wan Jusoh,PKR,lose,BN,BN,4599,6864,70935,9.68,86627,81.89,98,1,0,0,0,0,0,1753,9
Terengganu,34,Setiu,GS,Shaharizukirnain Abd Kadir,PAS,win,PAS,PAS,2802,35020,71978,48.65,86247,83.46,100,0,0,0,0,0,0,334,6
Terengganu,34,Setiu,BN,Mohd Jidin Shafee,BN,lose,PAS,PAS,2802,32218,71978,44.76,86247,83.46,100,0,0,0,0,0,0,334,6
Terengganu,34,Setiu,PH,Mohd Faudzi Musa,PKR,lose,PAS,PAS,2802,4740,71978,6.59,86247,83.46,100,0,0,0,0,0,0,334,6
Terengganu,35,Kuala Nerus,GS,Mohd Khairuddin Aman Razali,PAS,win,PAS,PAS,8447,37974,72105,52.66,83663,86.19,99,1,0,0,0,0,0,1756,14
Terengganu,35,Kuala Nerus,BN,Tengku Asmadi Tengku Mohamad,BN,lose,PAS,PAS,8447,29527,72105,40.95,83663,86.19,99,1,0,0,0,0,0,1756,14
Terengganu,35,Kuala Nerus,PH,Abdullah Mohamed,PKR,lose,PAS,PAS,8447,4604,72105,6.39,83663,86.19,99,1,0,0,0,0,0,1756,14
Terengganu,36,Kuala Terengganu,GS,Ahmad Amzad Mohamed @ Hashim,PAS,win,PAS,PAS,14773,42988,86583,49.65,103611,83.57,90,9,1,0,0,0,0,1510,29
Terengganu,36,Kuala Terengganu,BN,Wan Nawawi Wan Ismail,BN,lose,PAS,PAS,14773,28215,86583,32.59,103611,83.57,90,9,1,0,0,0,0,1510,29
Terengganu,36,Kuala Terengganu,PH,Raja Kamarul Bahrin Shah,PKR,lose,PAS,PAS,14773,15380,86583,17.76,103611,83.57,90,9,1,0,0,0,0,1510,29
Terengganu,37,Marang,GS,Abdul Hadi Awang,PAS,win,PAS,PAS,21954,53749,90682,59.27,104898,86.45,98,2,0,0,0,0,0,827,19
Terengganu,37,Marang,BN,Mohamad Nor Endot,BN,lose,PAS,PAS,21954,31795,90682,35.06,104898,86.45,98,2,0,0,0,0,0,827,19
Terengganu,37,Marang,PH,Zarawi Sulong,PKR,lose,PAS,PAS,21954,5138,90682,5.67,104898,86.45,98,2,0,0,0,0,0,827,19
Terengganu,38,Hulu Terengganu,BN,Rosol Wahid,BN,win,BN,BN,2868,30925,62346,49.6,73487,84.84,99,1,0,0,0,0,0,279,6
Terengganu,38,Hulu Terengganu,GS,Muhydin Abdul Rashid,PAS,lose,BN,BN,2868,28057,62346,45,73487,84.84,99,1,0,0,0,0,0,279,6
Terengganu,38,Hulu Terengganu,PH,Razali Idris,PKR,lose,BN,BN,2868,3364,62346,5.4,73487,84.84,99,1,0,0,0,0,0,279,6
Terengganu,39,Dungun,GS,Wan Hassan Mohd Ramli,PAS,win,PAS,PAS,13119,40850,75414,54.17,90506,83.32,96,3,0,0,0,0,0,582,17
Terengganu,39,Dungun,BN,Din Adam,BN,lose,PAS,PAS,13119,27731,75414,36.77,90506,83.32,96,3,0,0,0,0,0,582,17
Terengganu,39,Dungun,PH,Abd Rahman Yusof,PKR,lose,PAS,PAS,13119,6833,75414,9.06,90506,83.32,96,3,0,0,0,0,0,582,17
Terengganu,40,Kemaman,GS,Che Alias Hamid,PAS,win,PAS,PAS,2163,39878,90504,44.06,107593,84.12,94,5,1,1,0,0,0,442,11
