State,KodPAR,const_name,coallition,party,candidate_name,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,nonmuslim_bumi
Kelantan,19,Tumpat,PR,PAS,Kamarudin Jaffar,win,PAS,PR,10624,46151,82764,55.76,98632,83.91,92,3,0,4,0
Kelantan,19,Tumpat,BN,UMNO,Mansor Salleh,lose,PAS,PR,10624,35527,82764,42.93,98632,83.91,92,3,0,4,0
Kelantan,20,Pengkalan Chepa,PR,PAS,Izani Husin,win,PAS,PR,15120,34617,54797,63.17,64409,85.08,98,2,0,0,0
Kelantan,20,Pengkalan Chepa,BN,UMNO,Dali Husin,lose,PAS,PR,15120,19497,54797,35.58,64409,85.08,98,2,0,0,0
Kelantan,21,Kota Bahru,BN,UMNO,Mohamad Fatmi Che Salleh,lose,PAS,PR,15970,24650,66084,37.3,81268,81.32,83,16,1,1,0
Kelantan,21,Kota Bahru,PR,PAS,Takiyuddin Hassan,win,PAS,PR,15970,40620,66084,61.47,81268,81.32,83,16,1,1,0
Kelantan,21,Kota Bahru,IND,IND,Mohd Zakiman Abu Bakar,lose,PAS,PR,15970,148,66084,0.22,81268,81.32,83,16,1,1,0
Kelantan,22,Pasir Mas,IND,IND,Ibrahim Ali,lose,PAS,PR,8047,25384,59930,42.36,71965,83.28,96,3,0,0,0
Kelantan,22,Pasir Mas,PR,PAS,Nik Mohamad Abduh Nik Abdul Aziz,win,PAS,PR,8047,33431,59930,55.78,71965,83.28,96,3,0,0,0
Kelantan,23,Rantau Panjang,BN,UMNO,Ghazali Ismail,lose,PAS,PR,6276,17448,41804,41.74,52903,79.02,98,1,0,1,0
Kelantan,23,Rantau Panjang,PR,PAS,Siti Zailah Ti Mohd Yusoff,win,PAS,PR,6276,23724,41804,56.75,52903,79.02,98,1,0,1,0
Kelantan,24,Kubang Kerian,PR,PAS,Ahmad Baihaki Atiqullah,win,PAS,PR,16741,35510,54884,64.7,65390,83.93,98,2,0,0,0
Kelantan,24,Kubang Kerian,BN,UMNO,Anuar Safian,lose,PAS,PR,16741,18769,54884,34.2,65390,83.93,98,2,0,0,0
Kelantan,25,Bachok,PR,PAS,Ahmad Marzuk Shaary,win,PAS,PR,201,35419,71583,49.48,81566,87.76,98,1,0,0,0
Kelantan,25,Bachok,BN,UMNO,Awang Adek Hussin,lose,PAS,PR,201,35218,71583,49.2,81566,87.76,98,1,0,0,0
Kelantan,26,Ketereh,BN,UMNO,Annuar Musa,win,UMNO,BN,974,26912,53726,50.09,62217,86.35,97,2,0,1,0
Kelantan,26,Ketereh,PR,PKR,Ab Aziz Ab Kadir,lose,UMNO,BN,974,25938,53726,48.28,62217,86.35,97,2,0,1,0
Kelantan,27,Tanah Merah,PR,PKR,Nik Mahmood Nik Hassan,lose,UMNO,BN,4227,22278,49872,44.67,58237,85.64,94,4,1,1,0
Kelantan,27,Tanah Merah,IND,IND,Ahmad Fizal Che Harun,lose,UMNO,BN,4227,213,49872,0.43,58237,85.64,94,4,1,1,0
Kelantan,27,Tanah Merah,BN,UMNO,Ikmal Hisham Abdul Aziz,win,UMNO,BN,4227,26505,49872,53.15,58237,85.64,94,4,1,1,0
Kelantan,28,Pasir Puteh,BN,UMNO,Tuan Mustaffa Tuan Mat,lose,PAS,PR,1888,31691,66040,47.99,76259,86.6,98,1,0,1,0
Kelantan,28,Pasir Puteh,PR,PAS,Nik Mazian Nik Mohamad,win,PAS,PR,1888,33579,66040,50.85,76259,86.6,98,1,0,1,0
Kelantan,29,Machang,BN,UMNO,Ahmad Jazlan Yaakub,win,UMNO,BN,805,25660,51244,50.07,59226,86.52,96,4,0,0,0
Kelantan,29,Machang,PR,PKR,Wan Zawawi Wan Ismail,lose,UMNO,BN,805,24855,51244,48.5,59226,86.52,96,4,0,0,0
Kelantan,30,Jeli,BN,UMNO,Mustapa Mohamed,win,UMNO,BN,5269,21223,37599,56.45,43224,86.99,98,0,0,1,0
Kelantan,30,Jeli,PR,PAS,Mohd Apandi Mohamad,lose,UMNO,BN,5269,15954,37599,42.43,43224,86.99,98,0,0,1,0
Kelantan,31,Kuala Krai,BN,UMNO,Tuan Aziz Tuan Hamat @ Tuan Mat,lose,PAS,PR,2043,25876,54515,47.47,63101,86.39,94,4,1,0,0
Kelantan,31,Kuala Krai,PR,PAS,Mohd Hatta Md Ramli,win,PAS,PR,2043,27919,54515,51.21,63101,86.39,94,4,1,0,0
Kelantan,32,Gua Musang,BN,UMNO,Tengku Razaleigh Tengku Mohd Hamzah,win,UMNO,BN,8413,21367,35033,60.99,40176,87.2,80,7,1,12,0
